Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,Location
STROMBOLI FAMILY RESTAURANT,7023 WISCONSIN AVE,CHEVY CHASE,MD,20815,DBW046,On/Off-Premise,STROMBOLI FAMILY REST. INC.,"7023 WISCONSIN AVE
CHEVY CHASE, MD 20815
(38.979721, -77.091895)"
ELBE'S BEER AND WINE,"2522 UNIVERSITY BLVD, WEST",SILVER SPRING,MD,20902,DBW045,On/Off-Premise,"ELBE'S, INC.","2522 UNIVERSITY BLVD, WEST
SILVER SPRING, MD 20902
(39.041171, -77.05265)"
WORLD GOURMET WINE & BEER,7905 TUCKERMAN LANE,POTOMAC,MD,20854,DBW017,On/Off-Premise,WORLD GOURMET WINE AND BEER IN,"7905 TUCKERMAN LANE
POTOMAC, MD 20854
(39.039769, -77.157005)"
NEWS EXPRESS,4853 CORDELL AVE,BETHESDA,MD,20814,ABW262,Off Premise,NEWS EXPRESS,"4853 CORDELL AVE
BETHESDA, MD 20814
(38.989989, -77.097543)"
HIBACHI SUSHI SUPREME BUFFET,8 BUREAU DRIVE,GAITHERSBURG,MD,20878,HBW342,On Premise,"CHINA KING SUPER BUFFET, INC.","8 BUREAU DRIVE
GAITHERSBURG, MD 20878
(39.142391, -77.217428)"
SNIDERS SUPERMARKET,1936 SEMINARY ROAD,SILVER SPRING,MD,20910,ABW017,Off Premise,"SNIDERS, INC.","1936 SEMINARY ROAD
SILVER SPRING, MD 20910
(39.008733, -77.041645)"
EL NORTENO,8917 BROOKVILLE ROAD,SILVER SPRING,MD,20910,BBWLHR367,On Premise,"DALISSON,LLC","8917 BROOKVILLE ROAD
SILVER SPRING, MD 20910
(39.002307, -77.053098)"
BLUE MASH GOLF COURSE,5821 OLNEY LAYTONSVILLE ROAD,GAITHERSBURG,MD,20882,BBWLHR650,On Premise,"BLUE MASH GOLF COURSE, LLC","5821 OLNEY LAYTONSVILLE ROAD
GAITHERSBURG, MD 20882
(39.187759, -77.119068)"
COAL FIRE,116 MAIN STREET,GAITHERSBURG,MD,20878,BBWLHR586,On Premise,"COAL FIRE PIZZA OF KENTLANDS,","116 MAIN STREET
GAITHERSBURG, MD 20878
(39.124158, -77.238126)"
PASSION FISH,7187 WOODMONT AVENUE,BETHESDA,MD,20814,BBWLHR22665,On Premise,"PASSION FOOD EIGHT, LLC","7187 WOODMONT AVENUE
BETHESDA, MD 20814
(38.981182, -77.095402)"
&PIZZA,19823 CENTURY BOULEVARD,GERMANTOWN,MD,20874,BBWLHR21278,On Premise,"IMA PIZZA STORE 6, LLC","19823 CENTURY BOULEVARD
GERMANTOWN, MD 20874
(39.180908, -77.267311)"
FISH TACO,7945 MACARTHUR BLVD,CABIN JOHN,MD,20818,BBWLHR797,On Premise,"FISH TACO, INC","7945 MACARTHUR BLVD
CABIN JOHN, MD 20818
(38.974827, -77.163372)"
LIA'S,4445 WILLARD AVE,CHEVY CHASE,MD,20815,BBWLHR413,On Premise,"CG3,INC.","4445 WILLARD AVE
CHEVY CHASE, MD 20815
(38.962016, -77.088421)"
LE PAIN QUOTIDIEN - WILDWOOD,10217 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,BBWLHR757,On Premise,"PQ WILDWOOD, INC.","10217 OLD GEORGETOWN ROAD
BETHESDA, MD 20814
(39.022943, -77.123824)"
GIUSEPPI'S PIZZA PLUS - ROCKVILLE,"199 EAST MONTGOMERY AVE, UNIT L",ROCKVILLE,MD,20850,HBW097,On Premise,"SPENSCO, INC.","199 EAST MONTGOMERY AVE, UNIT L
ROCKVILLE, MD 20850
(39.084089, -77.150358)"
FAIRFIELD INN,20025 CENTURY BOULEVARD,GERMANTOWN,MD,20874,DBW158,On/Off-Premise,"HOSPITALITY SERVICES 2, LLC","20025 CENTURY BOULEVARD
GERMANTOWN, MD 20874
(39.184335, -77.260059)"
CHIPOTLE MEXICAN GRILL - OLNEY,3333 OLNEY SANDY SPRING ROAD,OLNEY,MD,20832,BBWLHR316,On Premise,CHIPOTLE MEXICAN GRILL OF MD L,"3333 OLNEY SANDY SPRING ROAD
OLNEY, MD 20832
(39.152917, -77.06617)"
MAMMA LUCIA - OLNEY,18224 VILLAGE MART DRIVE,OLNEY,MD,20832,BBWLHR204,On Premise,"MAMMA LUCIA OF OLNEY, INC.","18224 VILLAGE MART DRIVE
OLNEY, MD 20832
(39.152955, -77.063374)"
LA FRONTERA RESTAURANT,3 RUSSELL AVE,GAITHERSBURG,MD,20877,BBWLHR604,On Premise,LA FRONTERA RESTAURANT INC.,"3 RUSSELL AVE
GAITHERSBURG, MD 20877
(39.142429, -77.196524)"
HARD TIMES CAFE,1117 NELSON STREET,ROCKVILLE,MD,20850,BBWLHR578,On Premise,"MORGAN HOWARD, LLC","1117 NELSON STREET
ROCKVILLE, MD 20850
(39.090711, -77.174355)"
GREEK VILLAGE RESTAURANT,13476 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904,BBWLHR295,On Premise,"GREEK VILLAGE RESTAURANT, INC.","13476 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.077081, -77.001785)"
KADHAI INDIAN CUISINE,7905 NORFOLK AVE,BETHESDA,MD,20814,BBWLHR766,On Premise,"KADHAI, INC","7905 NORFOLK AVE
BETHESDA, MD 20814
(38.989072, -77.09751)"
CAVA MEZZE GRILL - MONT. MALL,7101 DEMOCRACY BOULEVARD,BETHESDA,MD,20817,BBWLHR866,On Premise,CAVA MEZZE GRILL MONT MALL,"7101 DEMOCRACY BOULEVARD
BETHESDA, MD 20817
(39.0242, -77.1459)"
AMICI MIEI,"1093 SEVEN LOCKS ROAD, UNIT A",ROCKVILLE,MD,20854,BBWLHR343,On Premise,"CONVIVIO, INC.","1093 SEVEN LOCKS ROAD, UNIT A
ROCKVILLE, MD 20854
(39.062214, -77.160795)"
WESTERN MARKET,4840 WESTERN AVE,BETHESDA,MD,20816,ABW018,Off Premise,WESTERN MARKET INC.,"4840 WESTERN AVE
BETHESDA, MD 20816
(38.95252, -77.096301)"
NOT YOUR AVERAGE JOE'S - SILVER SPRING,8661 COLESVILLE ROAD,SILVER SPRING,MD,20910,BBWLHR23669,On Premise,NOT YOUR AVERAGE JOE'S MD LLC,"8661 COLESVILLE ROAD
SILVER SPRING, MD 20910
(38.997214, -77.027331)"
PINKY & PEPE'S GRAPE ESCAPE,223 KENTLANDS BLVD,GAITHERSBURG,MD,20878,DBW126,On/Off-Premise,"PINKY & PEPE VENTURES, INC.","223 KENTLANDS BLVD
GAITHERSBURG, MD 20878
(39.123185, -77.235495)"
THE OFFICE CAFE & LOUNGE,6860 OLNEY LAYTONSVILLE ROAD,LAYTONSVILLE,MD,20882,BBWLHR1059218,On Premise,"ATLANTIC DEVELOPMENT, LLC","6860 OLNEY LAYTONSVILLE ROAD
LAYTONSVILLE, MD 20882
(39.205089, -77.140556)"
SHEBA RESTAURANT,5071 NICHOLSON LANE,ROCKVILLE,MD,20852,HBW303,On Premise,"PASTA PRONTO, LLC","5071 NICHOLSON LANE
ROCKVILLE, MD 20852
(39.046005, -77.104123)"
CAFE DELUXE - BETHESDA,4910 ELM STREET,BETHESDA,MD,20814,BBWLHR620,On Premise,"CLOVER ELM STREET, LLC.","4910 ELM STREET
BETHESDA, MD 20814
(38.982109, -77.097113)"
QUARRY HOUSE TEMPORARY,8402 GEORGIA AVENUE,SILVER SPRING,MD,20910,BBWLHR21917,On Premise,"8402 GEORGIA HOSPITALITY, LLC","8402 GEORGIA AVENUE
SILVER SPRING, MD 20910
(38.993604, -77.026786)"
TIJUANA MEXICAN CAFE - S.S.,949 EAST UNIVERSITY BLVD,SILVER SPRING,MD,20912,BBWLHR486,On Premise,"TIJUANA TAKOMA, INC.","949 EAST UNIVERSITY BLVD
SILVER SPRING, MD 20912
(38.992906, -76.991805)"
SMASHBURGER - GERMANTOWN,"20640 SENECA MEADOWS PKWY, SUITE D1",GERMANTOWN,MD,20876,BBWLHR808,On Premise,"SMASHBURGER ACQUISITION-MD, LL","20640 SENECA MEADOWS PKWY, SUITE D1
GERMANTOWN, MD 20876
(39.197908, -77.254308)"
STRATHMORE MUSIC CENTER & MANSION,5301 TUCKERMAN LANE,ROCKVILLE,MD,20852,BBWLPA001,On Premise,"STRATHMORE HALL FOUNDATION, IN","5301 TUCKERMAN LANE
ROCKVILLE, MD 20852
(39.030937, -77.103528)"
LEDO PIZZA - DAMASCUS,9805 MAIN STREET,DAMASCUS,MD,20872,HBW310,On Premise,MAIN STREET INN INC.,"9805 MAIN STREET
DAMASCUS, MD 20872
(39.287692, -77.201742)"
BLU WATER DAY SPA,5234 NICHOLSON LANE,KENSINGTON,MD,20895,SBSBW0002,On Premise,"CIRCLE P SPA, INC","5234 NICHOLSON LANE
KENSINGTON, MD 20895
(39.04497, -77.106276)"
TOMATILLO MEXICAN GRILL,2232 VEIRS MILL ROAD,ROCKVILLE,MD,20851,HBW241,On Premise,"EL PRIMER PASO, INC.","2232 VEIRS MILL ROAD
ROCKVILLE, MD 20851
(39.074592, -77.114343)"
CABIN JOHN MEMORIAL VFW POST 5633,11511 MACARTHUR BLVD.,POTOMAC,MD,20854,CBWLC002,On Premise,CABIN JOHN MEMORIAL VFW 5633,"11511 MACARTHUR BLVD.
POTOMAC, MD 20854
(38.995723, -77.237668)"
AZUCAR RESTAURANT,14418 LAYHILL ROAD,SILVER SPRING,MD,20906,BBWLHR389,On Premise,"JAR-RAM & JAG, INC.","14418 LAYHILL ROAD
SILVER SPRING, MD 20906
(39.091837, -77.04516)"
OLD TOWN MARKET,10251 KENSINGTON PARKWAY,KENSINGTON,MD,20895,ABWS243,Off Premise,"COOPERSMITH, INC","10251 KENSINGTON PARKWAY
KENSINGTON, MD 20895
(39.022263, -77.071885)"
URBAN BAR B QUE - SANDY SPRING,805 OLNEY SANDY SPRING ROAD,SANDY SPRING,MD,20860,BBWLHR610,On Premise,UBQ3. LLC,"805 OLNEY SANDY SPRING ROAD
SANDY SPRING, MD 20860
(39.149486, -77.02588)"
MRS. K'S TOLL HOUSE,9201 COLESVILLE ROAD,SILVER SPRING,MD,20910,BBWLHR181,On Premise,"QUICK CUISINE, INC.","9201 COLESVILLE ROAD
SILVER SPRING, MD 20910
(39.005673, -77.022489)"
LAYTONSVILLE GOLF COURSE,7130 DORSEY ROAD,GAITHERSBURG,MD,20882,HBW018,On Premise,MONTGOMERY CO.REV. AUTHORITY,"7130 DORSEY ROAD
GAITHERSBURG, MD 20882
(39.197471, -77.144151)"
LA TASCA,"141 GIBBS STREET, SUITE 305",ROCKVILLE,MD,20850,BBWLHR259,On Premise,"LA TASCA, INC.","141 GIBBS STREET, SUITE 305
ROCKVILLE, MD 20850
(39.087005, -77.151982)"
BUMP N GRIND,1200 EAST WEST HIGHWAY,SILVER SPRING,MD,20910,DBW164,On/Off-Premise,"BUMP N GRIND, LLC","1200 EAST WEST HIGHWAY
SILVER SPRING, MD 20910
(38.99041, -77.02938)"
AL CARBON,200 PARK ROAD,ROCKVILLE,MD,20850,BBWLHR624,On Premise,"CMV GROUP, INC.","200 PARK ROAD
ROCKVILLE, MD 20850
(39.08557, -77.146427)"
CORK & FORK,7110 BETHESDA LANE,BETHESDA,MD,20814,DBW094,On/Off-Premise,THE LANDRAGIN OPERATING COMPAN,"7110 BETHESDA LANE
BETHESDA, MD 20814
(38.981971, -77.097832)"
DESSIE ETHIOPIAN REST.& EXOTIC FOOD,2655 UNIVERSITY BLVD W.,SILVER SPRING,MD,20902,BBWLHR395,On Premise,DESSIE ETHIOPIAN REST & EXOTIC,"2655 UNIVERSITY BLVD W.
SILVER SPRING, MD 20902
(39.040321, -77.055012)"
HINODE RESTAURANT,134 CONGRESSIONAL LANE,ROCKVILLE,MD,20852,HBW168,On Premise,"K.K. SUSHI, INC.","134 CONGRESSIONAL LANE
ROCKVILLE, MD 20852
(39.062684, -77.128498)"
VISIONS RESTAURANT,4926 ST. ELMO AVE,BETHESDA,MD,20814,BBWLHR448,On Premise,"AUDACE, LLC","4926 ST. ELMO AVE
BETHESDA, MD 20814
(38.988152, -77.098062)"
KINGSVIEW BEER & WINE,13406 KINGSVIEW VILLAGE AVENUE,GERMANTOWN,MD,20874,ABWS172,Off Premise,"3U CPRPORATION, INC","13406 KINGSVIEW VILLAGE AVENUE
GERMANTOWN, MD 20874
(39.159897, -77.279944)"
NOODLES & COMPANY - ROCKVILLE,"1609 ROCKVILLE PIKE, UNIT B",ROCKVILLE,MD,20852,BBWLHR370,On Premise,"THE NOODLE SHOP, CO. - MARYLAN","1609 ROCKVILLE PIKE, UNIT B
ROCKVILLE, MD 20852
(39.064053, -77.125963)"
CHIPOTLE MEXICAN GRILL- CC,4471 WILLARD AVE,CHEVY CHASE,MD,20815,BBWLHR540,On Premise,CHIPOTLE MEXICAN GRILL OF MARY,"4471 WILLARD AVE
CHEVY CHASE, MD 20815
(38.962047, -77.088572)"
STAINED GLASS PUB,12510 LAYHILL ROAD,SILVER SPRING,MD,20906,BBWLHR192,On Premise,"THE PUB OF GLENMONT, INC.","12510 LAYHILL ROAD
SILVER SPRING, MD 20906
(39.061794, -77.050934)"
VIET PHO & GRILL,1640 ELTON ROAD,SILVER SPRING,MD,20903,HBW279,On Premise,VIET PHO & GRILL INC.,"1640 ELTON ROAD
SILVER SPRING, MD 20903
(39.020218, -76.975814)"
NOODLES & COMPANY - GAITHERSBURG,"177 KENTLANDS BLVD, #100",GAITHERSBURG,MD,20878,BBWLHR554,On Premise,"THE NOODLE SHOP, CO.-MD INC.","177 KENTLANDS BLVD, #100
GAITHERSBURG, MD 20878
(39.123104, -77.234311)"
ETHIO-ADDIS BEER & WINE MARKET,14 RANDOLPH ROAD,SILVER SPRING,MD,20904,ABW282,Off Premise,"COTTAGE TRADING, LLC","14 RANDOLPH ROAD
SILVER SPRING, MD 20904
(39.075608, -77.003141)"
MI LA CAY RESTAURANT,2409 UNIVERSITY BLVD,SILVER SPRING,MD,20902,HBW319,On Premise,MI LA CAY RESTAURANT,"2409 UNIVERSITY BLVD
SILVER SPRING, MD 20902
(39.041677, -77.050401)"
GIUSEPPI'S PIZZA PLUS - GAITH,335 KENTLANDS BOULEVARD,GAITHERSBURG,MD,20878,HBW068,On Premise,"STEEL CITY PIZZA, INC.","335 KENTLANDS BOULEVARD
GAITHERSBURG, MD 20878
(39.124464, -77.240938)"
CARBONAZO,9627 LOST KNIFE ROAD,GAITHERSBURG,MD,20877,BBWLHR565,On Premise,CARBONAZO,"9627 LOST KNIFE ROAD
GAITHERSBURG, MD 20877
(39.156501, -77.202561)"
YURAKU JAPANESE RESTAURANT,19773 FREDERICK ROAD,GERMANTOWN,MD,20874,HBW276,On Premise,"SUNY'S SUSHI BISTRO, INC.","19773 FREDERICK ROAD
GERMANTOWN, MD 20874
(39.179587, -77.238367)"
THE STANFORD GRILL,2000 TOWER OAKS BOULEVARD,ROCKVILLE,MD,20852,BBWLHR23452,On Premise,"TOWER OAKS REST HOLDINGS, LLC","2000 TOWER OAKS BOULEVARD
ROCKVILLE, MD 20852
(39.066282, -77.153935)"
THE LIMERICK PUB,11301 ELKIN STREET,SILVER SPRING,MD,20902,BBWLHR637,On Premise,"THE LIMERICK PUB, LLC","11301 ELKIN STREET
SILVER SPRING, MD 20902
(39.040448, -77.050349)"
WINGSTOP - GAITHRSBURG,"20201 GOSHEN ROAD, SPACE G",GAITHERSBURG,MD,20879,DBW093,On/Off-Premise,"WINGIT ENTERPRISES, LLC","20201 GOSHEN ROAD, SPACE G
GAITHERSBURG, MD 20879
(39.188656, -77.186143)"
LUNA ITALIA,400 MAIN STREET,GAITHERSBURG,MD,20878,DBW110,On/Off-Premise,"SABEKAH, INC.","400 MAIN STREET
GAITHERSBURG, MD 20878
(39.12103, -77.237158)"
THE KOSHER PASTRY OVEN,1372 LAMBERTON DRIVE,SILVER SPRING,MD,20902,HBW216,On Premise,"KOSHER PASTRY OVEN, INC.","1372 LAMBERTON DRIVE
SILVER SPRING, MD 20902
(39.040989, -77.029604)"
HYATT HOUSE,200 SKIDMORE BOULEVARD,GAITHERSBURG,MD,20877,BBWLHM218,On Premise,HYATT HOUSE,"200 SKIDMORE BOULEVARD
GAITHERSBURG, MD 20877
(39.126524, -77.180812)"
BESTWAY MARYLAND SUPERMARKET,8540 PINEY BRANCH ROAD,SILVER SPRING,MD,20901,ABW082,Off Premise,GREEN CASTLE INTERNATIONAL INC,"8540 PINEY BRANCH ROAD
SILVER SPRING, MD 20901
(38.998377, -77.001774)"
"TIGER BEER, WINE & DELI",303 NORTH WASHINGTON STREET,ROCKVILLE,MD,20850,ABWS123,Off Premise,"J.E.N., INC.","303 NORTH WASHINGTON STREET
ROCKVILLE, MD 20850
(39.089034, -77.153717)"
NORTHWEST GOLF COURSE,15701 LAYHILL ROAD,SILVER SPRING,MD,20906,HBW231,On Premise,MONTGOMERY CO. REV. AUTHORITY,"15701 LAYHILL ROAD
SILVER SPRING, MD 20906
(39.112134, -77.037099)"
BUFFALO WILD WINGS - ROCKVILLE,33 MARYLAND AVE,ROCKVILLE,MD,20850,BBWLHR564,On Premise,"WAA-ROCKVILLE, LLC","33 MARYLAND AVE
ROCKVILLE, MD 20850
(39.085577, -77.150992)"
SHERATON ROCKVILLE HOTEL,920 KING FARM BLVD,ROCKVILLE,MD,20850,BBWLHM024,On Premise,"GRAND PRIX ROCKVILLE, LLC","920 KING FARM BLVD
ROCKVILLE, MD 20850
(39.11016, -77.183174)"
PHO HIEP HOA,"921 ELLSWORTH DRIVE, UNIT G",SILVER SPRING,MD,20905,HBW044,On Premise,"PHH, LLC","921 ELLSWORTH DRIVE, UNIT G
SILVER SPRING, MD 20905
(38.995603, -77.026805)"
BUFFALO WINGS & BEER - SS,15412 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20905,BBWLHR476,On Premise,"WINGS CREATIONS , LLC.","15412 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20905
(39.108884, -76.997708)"
ZIKI JAPANESE STEAK HOUSE,10009 FIELDS ROAD,GAITHERSBURG,MD,20878,BBWLHR121,On Premise,"ZIKI COMPANY, LLC","10009 FIELDS ROAD
GAITHERSBURG, MD 20878
(39.116276, -77.20679)"
VERIDIAN MARKET & WINE,"8010 BLAIR MILL WAY, UNIT B",SILVER SPRING,MD,20910,ABW211,Off Premise,"EMC VERIDIAN, INC.","8010 BLAIR MILL WAY, UNIT B
SILVER SPRING, MD 20910
(38.989159, -77.027518)"
IL PIZZICO,15209 FREDERICK ROAD,ROCKVILLE,MD,20850,BBWLHR741,On Premise,LIVIA INC.,"15209 FREDERICK ROAD
ROCKVILLE, MD 20850
(39.105609, -77.157591)"
RUBY TUESDAY - GAITHERSBURG,701 RUSSELL AVE,GAITHERSBURG,MD,20877,BBWLHR142,On Premise,"RUBY TUESDAY, INC.","701 RUSSELL AVE
GAITHERSBURG, MD 20877
(39.15102, -77.205231)"
OLAZZO,7921 NORFOLK AVE,BETHESDA,MD,20814,BBWLHR242,On Premise,LAZIOS INC,"7921 NORFOLK AVE
BETHESDA, MD 20814
(38.989234, -77.097801)"
SUSHIJIN,"8555 FENTON STREET, UNIT A",SILVER SPRING,MD,20910,HBW145,On Premise,"SUSHIJIN, LLC","8555 FENTON STREET, UNIT A
SILVER SPRING, MD 20910
(38.99765, -77.026954)"
EL GOLFO RESTAURANT,8739 FLOWER AVE,SILVER SPRING,MD,20901,BBWLHR215,On Premise,"EL MEZCAL RESTAURANT, INC.","8739 FLOWER AVE
SILVER SPRING, MD 20901
(38.999742, -77.003957)"
MIX BAR & GRILL,8241 GEORGIA AVENUE,SILVER SPRING,MD,20910,BBWLHR20197,On Premise,"BP HOSPITALITY GROUP, LLC","8241 GEORGIA AVENUE
SILVER SPRING, MD 20910
(38.992811, -77.026557)"
HOLLYWOOD BALLROOM DANCE CENTER,2126 INDUSTRIAL PARKWAY,SILVER SPRING,MD,20904,HBW296,On Premise,HOLLYWOOD BALLROOM DANCE CENTE,"2126 INDUSTRIAL PARKWAY
SILVER SPRING, MD 20904
(39.053915, -76.968991)"
RIO GRANDE CAFE - GAITHERSBURG,231 RIO BLVD,GAITHERSBURG,MD,20878,BBWLHR048,On Premise,"THE MEXICAN RESTAURANT,INC.","231 RIO BLVD
GAITHERSBURG, MD 20878
(39.118015, -77.20042)"
SIRIWAN THAI RESTUARANT,12115 DARNESTOWN RD,GAITHERSBURG,MD,20878,HBW26242,On Premise,"SIRIWAN M.X.B., LLC","12115 DARNESTOWN RD
GAITHERSBURG, MD 20878
(39.117441, -77.251178)"
ZANE JAPANESE EATERY,19833 CENTURY BLVD.,GERMANTOWN,MD,20874,HBW26283,On Premise,"ZANE EATERY, LLC","19833 CENTURY BLVD.
GERMANTOWN, MD 20874
(39.181304, -77.266593)"
